,Zm00001d028401,Zm00001d049179,Zm00001d035082,Zm00001d031463,Zm00001d039173,Zm00001d006010,Zm00001d033861,Zm00001d043589,Zm00001d040260,Zm00001d048201,Zm00001d024281,Zm00001d018024,Zm00001d018742,Zm00001d034112,Zm00001d033673,Zm00001d044228,Zm00001d028398,Zm00001d025944,Zm00001d048082,Zm00001d005454,Zm00001d015737,Zm00001d020620,Zm00001d020910,Zm00001d031913,Zm00001d039432,Zm00001d042217,Zm00001d018775
cell_198,4,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
cell_199,0,0,0,1,2,0,0,4,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
cell_200,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
cell_201,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cell_202,0,0,0,4,0,0,1,10,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_203,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_204,0,0,0,1,2,0,1,5,0,6,0,0,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0
cell_205,1,0,5,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,13,0,0,4,0,0,0
cell_206,0,0,1,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_207,1,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_208,2,0,0,0,0,0,0,0,0,0,0,8,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0
cell_209,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_210,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_211,0,0,0,3,0,0,0,9,3,1,0,1,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0
